t,l,R,eg
0.302000,0.931695,0.095521,0.469548
0.303000,0.931492,0.095833,0.469448
0.304000,0.931289,0.096146,0.469348
0.305000,0.931086,0.096459,0.469248
0.306000,0.930883,0.096771,0.469149
0.307000,0.930680,0.097084,0.469049
0.308000,0.930477,0.097396,0.468949
0.309000,0.930275,0.097708,0.468849
0.310000,0.930072,0.098021,0.468749
0.311000,0.929870,0.098333,0.468649
0.312000,0.929668,0.098645,0.468549
0.313000,0.929466,0.098958,0.468449
0.314000,0.929264,0.099270,0.468349
0.315000,0.929063,0.099582,0.468249
0.316000,0.928861,0.099894,0.468150
0.317000,0.928660,0.100206,0.468050
0.318000,0.928458,0.100518,0.467950
0.319000,0.928257,0.100831,0.467850
0.320000,0.928056,0.101143,0.467750
0.321000,0.927855,0.101455,0.467650
0.322000,0.927655,0.101766,0.467551
0.323000,0.927454,0.102078,0.467451
0.324000,0.927254,0.102390,0.467351
0.325000,0.927054,0.102702,0.467251
0.326000,0.926853,0.103014,0.467151
0.327000,0.926653,0.103326,0.467052
0.328000,0.926454,0.103637,0.466952
0.329000,0.926254,0.103949,0.466852
0.330000,0.926054,0.104261,0.466752
0.331000,0.925855,0.104572,0.466653
0.332000,0.925656,0.104884,0.466553
0.333000,0.925457,0.105195,0.466453
0.334000,0.925258,0.105507,0.466354
0.335000,0.925059,0.105818,0.466254
0.336000,0.924860,0.106130,0.466154
0.337000,0.924662,0.106441,0.466054
0.338000,0.924463,0.106752,0.465955
0.339000,0.924265,0.107064,0.465855
0.340000,0.924067,0.107375,0.465756
0.341000,0.923869,0.107686,0.465656
0.342000,0.923671,0.107997,0.465556
0.343000,0.923473,0.108308,0.465457
0.344000,0.923276,0.108619,0.465357
0.345000,0.923078,0.108930,0.465257
0.346000,0.922881,0.109241,0.465158
0.347000,0.922684,0.109552,0.465058
0.348000,0.922487,0.109863,0.464959
0.349000,0.922290,0.110174,0.464859
0.350000,0.922093,0.110485,0.464760
0.351000,0.921896,0.110796,0.464660
0.352000,0.921700,0.111107,0.464561
0.353000,0.921504,0.111417,0.464461
0.354000,0.921307,0.111728,0.464361
0.355000,0.921111,0.112039,0.464262
0.356000,0.920915,0.112349,0.464162
0.357000,0.920720,0.112660,0.464063
0.358000,0.920524,0.112970,0.463964
0.359000,0.920329,0.113281,0.463864
0.360000,0.920133,0.113591,0.463765
0.361000,0.919938,0.113901,0.463665
0.362000,0.919743,0.114212,0.463566
0.363000,0.919548,0.114522,0.463466
0.364000,0.919353,0.114832,0.463367
0.365000,0.919159,0.115143,0.463267
0.366000,0.918964,0.115453,0.463168
