t,eg
0.837000,0.354272
0.838000,0.354156
0.839000,0.354040
0.840000,0.353924
0.841000,0.353808
0.842000,0.353692
0.843000,0.353576
0.844000,0.353460
0.845000,0.353344
0.846000,0.353229
0.847000,0.353113
0.848000,0.352998
0.849000,0.352882
0.850000,0.352767
0.851000,0.352652
0.852000,0.352537
0.853000,0.352422
0.854000,0.352307
0.855000,0.352192
0.856000,0.352078
0.857000,0.351963
0.858000,0.351848
0.859000,0.351734
0.860000,0.351620
0.861000,0.351506
0.862000,0.351391
0.863000,0.351277
0.864000,0.351164
0.865000,0.351050
0.866000,0.350936
0.867000,0.350822
0.868000,0.350709
0.869000,0.350595
0.870000,0.350482
0.871000,0.350369
0.872000,0.350255
0.873000,0.350142
0.874000,0.350029
0.875000,0.349916
0.876000,0.349804
0.877000,0.349691
0.878000,0.349578
0.879000,0.349466
0.880000,0.349353
0.881000,0.349241
0.882000,0.349129
0.883000,0.349017
0.884000,0.348904
0.885000,0.348792
0.886000,0.348681
0.887000,0.348569
0.888000,0.348457
0.889000,0.348345
0.890000,0.348234
0.891000,0.348122
0.892000,0.348011
0.893000,0.347900
0.894000,0.347789
0.895000,0.347678
0.896000,0.347567
0.897000,0.347456
0.898000,0.347345
0.899000,0.347234
0.900000,0.347123
0.901000,0.347013
0.902000,0.346902
0.903000,0.346792
0.904000,0.346682
0.905000,0.346572
0.906000,0.346461
0.907000,0.346351
0.908000,0.346241
0.909000,0.346132
0.910000,0.346022
0.911000,0.345912
0.912000,0.345803
0.913000,0.345693
0.914000,0.345584
0.915000,0.345474
0.916000,0.345365
0.917000,0.345256
0.918000,0.345147
0.919000,0.345038
0.920000,0.344929
0.921000,0.344820
0.922000,0.344712
0.923000,0.344603
0.924000,0.344495
0.925000,0.344386
0.926000,0.344278
0.927000,0.344169
0.928000,0.344061
0.929000,0.343953
0.930000,0.343845
0.931000,0.343737
0.932000,0.343629
0.933000,0.343522
0.934000,0.343414
0.935000,0.343306
0.936000,0.343199
0.937000,0.343092
0.938000,0.342984
0.939000,0.342877
0.940000,0.342770
0.941000,0.342663
0.942000,0.342556
0.943000,0.342449
0.944000,0.342342
0.945000,0.342235
0.946000,0.342129
0.947000,0.342022
0.948000,0.341916
0.949000,0.341809
0.950000,0.341703
0.951000,0.341597
0.952000,0.341491
0.953000,0.341385
0.954000,0.341279
0.955000,0.341173
0.956000,0.341067
0.957000,0.340961
0.958000,0.340856
0.959000,0.340750
0.960000,0.340645
0.961000,0.340539
0.962000,0.340434
0.963000,0.340329
0.964000,0.340223
0.965000,0.340118
0.966000,0.340013
0.967000,0.339909
0.968000,0.339804
