min,-5.120000,max,5.120000,populationsize,250,children,40
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],,distance
68,76.640565,452.179097,1.000000,,2.114836,2.072889,2.304501,1.998659,1.622513,2.076413,2.190754,2.127773,2.229868,2.435535,,-0.100265,-0.201080,-1.741992,-0.530605,-0.441843,-0.256828,-0.998506,-0.000760,-1.021350,0.049315,,1.994660
69,76.640565,452.030506,1.000000,,1.949197,1.942317,2.260023,1.902850,1.548799,2.041166,2.105806,2.106634,2.210906,2.306507,,-0.100265,-0.201080,-1.741992,-0.530605,-0.441843,-0.256828,-0.998506,-0.000760,-1.021350,0.049315,,2.013517
70,76.139788,452.030506,1.000000,,1.906753,1.938748,2.235497,1.875955,1.525079,1.971917,2.107312,2.062788,2.159403,2.221201,,-1.132694,-0.443277,0.465260,-2.046012,-2.125635,-0.175561,-1.091345,-0.936036,-0.572620,-1.209770,,2.020976
71,76.139788,452.030506,1.000000,,1.813268,1.835566,2.103397,1.819010,1.485839,1.745407,2.078597,1.971396,2.006013,2.137594,,-1.132694,-0.443277,0.465260,-2.046012,-2.125635,-0.175561,-1.091345,-0.936036,-0.572620,-1.209770,,2.052620
72,76.139788,452.030506,1.000000,,1.818146,1.816377,2.065059,1.817203,1.460605,1.745613,2.005480,1.862741,1.981575,2.116927,,-1.132694,-0.443277,0.465260,-2.046012,-2.125635,-0.175561,-1.091345,-0.936036,-0.572620,-1.209770,,2.063128
73,59.514042,452.030506,1.000000,,1.784902,1.803083,2.039921,1.776312,1.411731,1.731309,1.946787,1.807571,1.932744,2.097856,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.074901
74,59.514042,452.030506,1.000000,,1.764421,1.729297,2.042215,1.780273,1.377987,1.695576,1.878207,1.838624,1.910006,2.080216,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.099821
75,59.514042,452.030506,1.009056,,1.742095,1.731302,2.060089,1.782377,1.383368,1.668737,1.865500,1.832575,1.898349,2.077995,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.097716
76,59.514042,452.030506,1.007508,,1.689181,1.686293,2.043506,1.778254,1.354937,1.641336,1.840280,1.839651,1.887733,2.109615,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.101209
77,59.514042,452.030506,1.009637,,1.704032,1.685088,1.963822,1.774868,1.349942,1.615700,1.852646,1.802735,1.882191,2.114517,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.103273
78,59.514042,452.030506,1.009409,,1.667159,1.687841,1.989429,1.760453,1.318145,1.605175,1.814517,1.764351,1.875143,2.090236,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.101440
79,59.514042,452.030506,1.005627,,1.558364,1.644607,1.826743,1.706208,1.298918,1.566946,1.834608,1.712298,1.800129,2.069960,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.147718
80,59.514042,452.030506,1.007128,,1.564057,1.613871,1.814366,1.676580,1.274880,1.568314,1.813512,1.714215,1.752217,2.036499,,-0.239744,-1.181554,-1.414105,-1.054630,-0.835754,0.419233,-1.004739,0.450261,0.967507,-1.035602,,2.150656
81,58.207786,452.030506,1.002600,,1.534087,1.578961,1.741663,1.639640,1.257070,1.516641,1.760835,1.693533,1.741525,1.966813,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.155228
82,58.207786,357.673464,1.001059,,1.460026,1.467648,1.724138,1.506290,1.227132,1.464415,1.787169,1.495967,1.709189,1.877489,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.148455
83,58.207786,357.673464,1.000000,,1.456892,1.438646,1.718823,1.457115,1.194012,1.415051,1.757944,1.478891,1.698370,1.845303,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.144831
84,58.207786,357.673464,1.000000,,1.446500,1.435621,1.695604,1.437723,1.207095,1.393845,1.738708,1.494686,1.689509,1.792585,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.136272
85,58.207786,357.673464,1.000000,,1.416767,1.422816,1.606635,1.416915,1.177703,1.356932,1.730088,1.453138,1.584739,1.772928,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.141036
86,58.207786,357.673464,1.000000,,1.415691,1.415532,1.604011,1.432302,1.177880,1.358773,1.701339,1.448671,1.583254,1.760668,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.158424
87,58.207786,357.673464,1.000000,,1.378203,1.393447,1.599189,1.413375,1.176863,1.310689,1.635230,1.419815,1.573424,1.748705,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.135173
88,58.207786,357.673464,1.000000,,1.377723,1.330726,1.594638,1.349172,1.094769,1.303155,1.572041,1.386189,1.487168,1.733159,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.160827
89,58.207786,357.673464,1.000000,,1.363902,1.352893,1.505730,1.342909,1.089469,1.281690,1.539823,1.379746,1.491314,1.682227,,-0.343240,-1.218632,-0.874968,0.043592,0.049396,-1.040513,-1.000421,-0.921309,0.449266,-0.590779,,2.163783
90,56.683276,357.673464,1.000000,,1.395675,1.331873,1.457073,1.288441,1.057182,1.279670,1.511525,1.385391,1.478676,1.671066,,1.560616,-0.912305,-0.175769,-0.750236,0.106906,0.000733,-0.038613,-1.920862,-1.151533,-2.123226,,2.155210
91,56.683276,357.673464,1.000000,,1.401473,1.301649,1.449755,1.281577,1.045590,1.261186,1.496829,1.376080,1.485957,1.635523,,1.560616,-0.912305,-0.175769,-0.750236,0.106906,0.000733,-0.038613,-1.920862,-1.151533,-2.123226,,2.145443
92,53.670988,357.673464,1.001814,,1.389419,1.294383,1.452113,1.271845,1.040967,1.260294,1.489441,1.387673,1.488832,1.629863,,-1.999868,-1.065136,-2.000184,-0.057065,0.018414,-0.608694,-0.886049,-0.148948,-0.249601,-2.123024,,2.149933
