generation,alpha,evaluation_count,population_size
521,1.1891376262943849,51579,120
522,1.189242912841858,51678,120
523,1.1892459847754187,51777,120
524,1.1890016356333193,51876,120
525,1.1882052494355839,51975,120
526,1.1888044203692139,52074,120
527,1.1898595865588737,52173,120
528,1.1902370515039018,52272,120
529,1.1908979533695776,52371,120
530,1.1909370320337338,52470,120
531,1.1911564837332373,52569,120
532,1.1910755743734103,52668,120
533,1.1909700821202291,52767,120
534,1.191897797038949,52866,120
535,1.1922633193897711,52965,120
536,1.1922434282549121,53064,120
537,1.1920136109097306,53163,120
538,1.1922273795362552,53262,120
539,1.192799069981366,53361,120
540,1.1926339337455922,53460,120
541,1.1926094282201127,53559,120
542,1.1925543621702148,53658,120
543,1.192563969227407,53757,120
544,1.1921361037558205,53856,120
545,1.1919506010133334,53955,120
546,1.1915120116656277,54054,120
547,1.1919318901806768,54153,120
548,1.1921141500493913,54252,120
549,1.1929738417443008,54351,120
550,1.1939909658378209,54450,120
551,1.1936218425715401,54549,120
552,1.1946865380087333,54648,120
553,1.1950087528021081,54747,120
554,1.1956935561944293,54846,120
555,1.1963089590804985,54945,120
556,1.1969701235366541,55044,120
557,1.1973994591944952,55143,120
558,1.197662979568956,55242,120
559,1.1978125606250198,55341,120
560,1.1977737927559715,55440,120
561,1.197649223275582,55539,120
562,1.1978981186748021,55638,120
563,1.198605296700324,55737,120
564,1.1989725064811307,55836,120
565,1.1979617859264957,55935,120
566,1.1974818225800388,56034,120
567,1.197268566218711,56133,120
568,1.1975944564839005,56232,120
569,1.1984502306380667,56331,120
570,1.1976595282284874,56430,120
571,1.1986519928105508,56529,120
572,1.1992918882762222,56628,120
573,1.1993890254435495,56727,120
574,1.1996006428698847,56826,120
575,1.2011726663058335,56925,120
576,1.2007962264950045,57024,120
577,1.2020284201719176,57123,120
578,1.203518959861404,57222,120
579,1.2034837161929544,57321,120
580,1.2032665292365865,57420,120
581,1.2038626217655319,57519,120
582,1.2033477684606135,57618,120
583,1.2034001562842493,57717,120
584,1.2043114685638747,57816,120
585,1.2043039775880235,57915,120
586,1.2046715045853735,58014,120
587,1.2053444065224284,58113,120
588,1.2057439184589898,58212,120
589,1.2055793366633221,58311,120
590,1.2054189631928556,58410,120
591,1.2069077149650018,58509,120
592,1.2063937270053522,58608,120
593,1.2060504627227906,58707,120
594,1.2056478453688659,58806,120
595,1.2049500303155787,58905,120
596,1.2050985091641819,59004,120
597,1.206282372838547,59103,120
598,1.2059773069480388,59202,120
599,1.2057342083308438,59301,120
600,1.2067876963884887,59400,120
