generation,alpha,evaluation_count,population_size
380,2.8311471002440798,36100,120
381,2.8341890586491507,36195,120
382,2.8328081112415857,36290,120
383,2.8307303447531273,36385,120
384,2.8284191308587228,36480,120
385,2.8330978709206516,36575,120
386,2.8328234684513527,36670,120
387,2.842164839935152,36765,120
388,2.8476976059142589,36860,120
389,2.8515583891135274,36955,120
390,2.852131329258706,37050,120
391,2.8534893342784624,37145,120
392,2.8527598412733943,37240,120
393,2.8540467247838657,37335,120
394,2.8582259178423906,37430,120
395,2.8634471049867036,37525,120
396,2.8652985548391254,37620,120
397,2.8652363136134751,37715,120
398,2.8723573290983713,37810,120
399,2.8731806406357738,37905,120
400,2.8864223382749272,38000,120
401,2.8937732171513089,38095,120
402,2.8979711366374108,38190,120
403,2.9056034180861041,38285,120
404,2.9107444290670279,38380,120
405,2.9131127532687464,38475,120
406,2.910589933347854,38570,120
407,2.9077244119825973,38665,120
408,2.906456548032891,38760,120
409,2.9062742063883382,38855,120
410,2.9079477740081749,38950,120
411,2.9084032850128172,39045,120
412,2.911018186463183,39140,120
413,2.9121895657075072,39235,120
414,2.9121745997771735,39330,120
415,2.9156821490945397,39425,120
416,2.9195693310201101,39520,120
417,2.9305562981302442,39615,120
418,2.9311548564982002,39710,120
419,2.9349146543412012,39805,120
420,2.9398216000351591,39900,120
421,2.9365491428045436,39995,120
422,2.9329529176661651,40090,120
423,2.9369323894277302,40185,120
424,2.946449940690401,40280,120
425,2.9488414666015785,40375,120
426,2.9482139077485088,40470,120
427,2.9481236345915423,40565,120
428,2.9457201208542196,40660,120
429,2.9468313601150906,40755,120
430,2.9519430189354026,40850,120
431,2.950138800023181,40945,120
432,2.9567203746784863,41040,120
433,2.9580801387694908,41135,120
434,2.9647746208859171,41230,120
435,2.9711455475110187,41325,120
436,2.9691352631604775,41420,120
437,2.968460465062869,41515,120
438,2.9738970154126037,41610,120
439,2.978576296515294,41705,120
440,2.9804985959384762,41800,120
441,2.9773644436153974,41895,120
442,2.9750907963217559,41990,120
443,2.9819274660627979,42085,120
444,2.9881117857013986,42180,120
445,2.98621000646096,42275,120
446,2.9880090788581013,42370,120
447,2.9907356939139222,42465,120
448,2.9913655572262132,42560,120
449,2.9961619117138358,42655,120
450,3.0060724040275013,42750,120
451,3.009649896319849,42845,120
452,3.012594111513399,42940,120
453,3.0144712926154327,43035,120
454,3.015815320119501,43130,120
455,3.0184836750058581,43225,120
456,3.0227596422266192,43320,120
457,3.0278197833742357,43415,120
458,3.0294794397124853,43510,120
459,3.0364226197080311,43605,120
460,3.0449277694440724,43700,120
461,3.0459808553853933,43795,120
462,3.0450327944961253,43890,120
463,3.0535961923845969,43985,120
464,3.0663743065533366,44080,120
465,3.0716043912401014,44175,120
466,3.0668727393462887,44270,120
467,3.0683722717297255,44365,120
468,3.0658991578753012,44460,120
469,3.0637095032713426,44555,120
470,3.0626880384879733,44650,120
471,3.0698436894065333,44745,120
472,3.0662590864831403,44840,120
473,3.0644425648889406,44935,120
474,3.0669776460651264,45030,120
475,3.0661609518159785,45125,120
476,3.0707522946200818,45220,120
477,3.0731695156882037,45315,120
478,3.081359398429715,45410,120
479,3.0849875650707634,45505,120
480,3.0909315022647137,45600,120
481,3.0991625524915238,45695,120
482,3.1034278471048711,45790,120
483,3.1092826909418707,45885,120
484,3.1133125075265524,45980,120
485,3.1189217819211299,46075,120
486,3.1182036709713672,46170,120
487,3.125289062816047,46265,120
488,3.1217850132555354,46360,120
489,3.1202453861676456,46455,120
490,3.1199026807129582,46550,120
491,3.1223592465511434,46645,120
492,3.1282548220995867,46740,120
493,3.1349021719410541,46835,120
494,3.1358231691658478,46930,120
495,3.1355770298510302,47025,120
496,3.1434982576634671,47120,120
497,3.1438417636331195,47215,120
498,3.1470474751133986,47310,120
499,3.1430642001633955,47405,120
500,3.1506049490830903,47500,120
501,3.1528561085659699,47595,120
502,3.1528045312035013,47690,120
503,3.1565159823857152,47785,120
504,3.1586227636555906,47880,120
505,3.1572196146491533,47975,120
506,3.1648763989933748,48070,120
507,3.1693119835114287,48165,120
508,3.1714035559728222,48260,120
509,3.1730623833010458,48355,120
510,3.1815755848047265,48450,120
511,3.1793636880430625,48545,120
512,3.1817046059316518,48640,120
513,3.1840228557196473,48735,120
514,3.1916849020192495,48830,120
515,3.1928584412016159,48925,120
516,3.1965560232410253,49020,120
517,3.195536769204093,49115,120
518,3.1981566013622675,49210,120
519,3.1962256902421955,49305,120
520,3.196442956709149,49400,120
521,3.1979070564666516,49495,120
522,3.2046470774566358,49590,120
523,3.2037661062694833,49685,120
524,3.200842318781854,49780,120
525,3.2017381687521351,49875,120
526,3.2024837760793123,49970,120
527,3.2034528771723103,50065,120
528,3.2083473933281388,50160,120
529,3.2123816353312153,50255,120
530,3.2169005132687034,50350,120
531,3.2208321513590361,50445,120
532,3.2245229987512962,50540,120
533,3.2310259053077774,50635,120
534,3.2342766381575623,50730,120
535,3.2370563454796955,50825,120
536,3.246049264664105,50920,120
537,3.2484933963490992,51015,120
538,3.2453858373247466,51110,120
539,3.245379689789984,51205,120
540,3.2527832203161857,51300,120
541,3.2547436453487806,51395,120
542,3.2653649812108934,51490,120
543,3.2643210184012332,51585,120
544,3.2663706622684119,51680,120
545,3.2685328151741855,51775,120
546,3.2753914023797681,51870,120
547,3.2803747600835678,51965,120
548,3.2901140315164072,52060,120
549,3.2841045531163506,52155,120
550,3.2910934446244782,52250,120
551,3.2938830151707488,52345,120
552,3.2995819749668565,52440,120
553,3.297232838297671,52535,120
554,3.2983824744213948,52630,120
555,3.3001567903704645,52725,120
556,3.304553181788207,52820,120
557,3.3008193067731391,52915,120
558,3.302735658713317,53010,120
559,3.2996056826260656,53105,120
560,3.314091260551185,53200,120
561,3.3205413980722387,53295,120
562,3.3269180734289092,53390,120
563,3.325489780589725,53485,120
564,3.3315199854449493,53580,120
565,3.3319914583894263,53675,120
566,3.3428964385215179,53770,120
567,3.3453395273473321,53865,120
568,3.344861310361833,53960,120
569,3.341768451271756,54055,120
570,3.3450232922394316,54150,120
571,3.3503659798222563,54245,120
572,3.3543717684559589,54340,120
573,3.356403125321556,54435,120
574,3.3542668898917114,54530,120
575,3.3555686820807247,54625,120
576,3.3607771557584751,54720,120
577,3.3646447175633072,54815,120
578,3.3637053315464227,54910,120
579,3.3611126465883761,55005,120
580,3.3726746016635469,55100,120
581,3.3742790781934091,55195,120
582,3.3847641786724059,55290,120
583,3.3862696886716681,55385,120
584,3.3870532629940269,55480,120
585,3.3890362243802667,55575,120
586,3.393398784152561,55670,120
587,3.3908708810906889,55765,120
588,3.3946430502807834,55860,120
589,3.4014676668265311,55955,120
590,3.3984219345826854,56050,120
591,3.4125039791716922,56145,120
592,3.4047701145321678,56240,120
593,3.4101551300742017,56335,120
594,3.4121595397568134,56430,120
595,3.4123692123790099,56525,120
596,3.4201622093799959,56620,120
597,3.4245014631477941,56715,120
598,3.4294106210198403,56810,120
599,3.4348054417662865,56905,120
600,3.4357942000284725,57000,120
601,3.4415868370317164,57095,120
602,3.4450400633278235,57190,120
603,3.4476598495510506,57285,120
604,3.4498307416649627,57380,120
605,3.4557160863808867,57475,120
606,3.458474914397025,57570,120
607,3.456943751097338,57665,120
608,3.4578115997949235,57760,120
609,3.4613291142804301,57855,120
610,3.4699787005826921,57950,120
611,3.4698748775668875,58045,120
612,3.4798247643072235,58140,120
613,3.4835293573135964,58235,120
614,3.4903258108726165,58330,120
615,3.492585894282247,58425,120
616,3.486326141305812,58520,120
617,3.488572442346622,58615,120
618,3.4944670467607883,58710,120
619,3.4901028154051481,58805,120
620,3.4878372397776998,58900,120
