min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
33,223.495061,837.587866,1.000694,,4.710188,5.310192,4.617937,4.771734,4.696131,4.982114,4.996859,5.039030,4.640200,4.414573,4.758371,5.426462,4.637321,4.602721,4.462806,5.088293,4.519376,4.898527,4.963617,5.194169,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,4.318060
34,205.559454,837.587866,1.001859,,4.646438,5.108639,4.449066,4.712336,4.632818,4.823767,4.981476,4.950337,4.602439,4.374610,4.496536,5.387694,4.512932,4.463538,4.390943,4.925305,4.412495,4.806321,4.821809,5.047727,,0.157565,2.219719,0.733919,4.046330,-3.513152,-1.705667,-1.304595,2.910671,-4.075092,-2.923270,0.206281,-3.124347,-0.539146,0.874667,-1.923074,2.007161,-1.919926,2.194352,0.563977,2.113627,,4.422038
35,205.559454,837.587866,1.001104,,4.608648,5.026913,4.453162,4.703031,4.544256,4.791049,4.918170,4.911130,4.609498,4.377717,4.444315,5.281693,4.531339,4.361536,4.318315,4.822142,4.382684,4.830013,4.801513,4.865323,,0.157565,2.219719,0.733919,4.046330,-3.513152,-1.705667,-1.304595,2.910671,-4.075092,-2.923270,0.206281,-3.124347,-0.539146,0.874667,-1.923074,2.007161,-1.919926,2.194352,0.563977,2.113627,,4.509482
36,211.109994,837.587866,1.001794,,4.507849,4.883455,4.461712,4.589819,4.469619,4.647712,4.760474,4.876129,4.588933,4.205778,4.453875,5.150501,4.532081,4.359506,4.231308,4.736537,4.374620,4.820151,4.699881,4.761536,,-2.687507,1.254649,0.928175,4.105530,-3.017522,-1.682596,-1.085951,3.919451,1.089344,-1.891401,-2.915084,-1.869937,-1.716479,0.744062,-2.220790,2.488194,0.106255,2.923176,-2.489468,1.017901,,4.622449
37,211.109994,837.587866,1.001374,,4.422674,4.696771,4.387117,4.484603,4.340290,4.500734,4.685936,4.701235,4.550514,4.140299,4.359419,5.047815,4.442382,4.318694,4.172029,4.626623,4.390720,4.797877,4.609311,4.698253,,-2.687507,1.254649,0.928175,4.105530,-3.017522,-1.682596,-1.085951,3.919451,1.089344,-1.891401,-2.915084,-1.869937,-1.716479,0.744062,-2.220790,2.488194,0.106255,2.923176,-2.489468,1.017901,,4.730593
38,214.971841,837.587866,1.001697,,4.405236,4.668012,4.383093,4.381861,4.320337,4.460944,4.607688,4.614890,4.532020,4.098096,4.387392,4.994439,4.403377,4.312734,4.140068,4.449518,4.378284,4.839147,4.563103,4.603416,,-0.338136,4.491301,1.719472,4.017457,-2.938293,-2.801903,-2.814486,4.429290,-2.934172,-2.022078,-3.581469,-3.863826,-0.718126,-0.996021,-1.856451,2.845072,1.693210,1.995610,-0.589002,1.262549,,4.824336
39,201.582115,837.587866,1.003450,,4.345139,4.645192,4.363250,4.403644,4.208763,4.406177,4.446068,4.397199,4.461336,3.987527,4.315827,4.865463,4.366789,4.227689,4.085394,4.337703,4.256455,4.773754,4.463142,4.571550,,-0.806978,2.271260,-1.032002,3.098253,-2.193409,-4.746124,-0.217977,1.168424,-0.771432,-2.140181,-3.096568,0.909743,-1.554118,-0.106305,-4.169273,3.279674,-1.168313,5.092136,0.321072,2.862118,,4.902841
40,201.582115,837.587866,1.002940,,4.275131,4.558916,4.397538,4.355196,4.139029,4.367419,4.348841,4.277955,4.456858,3.881182,4.236709,4.776458,4.261170,4.205434,4.051616,4.292603,4.135345,4.745800,4.441621,4.516358,,-0.806978,2.271260,-1.032002,3.098253,-2.193409,-4.746124,-0.217977,1.168424,-0.771432,-2.140181,-3.096568,0.909743,-1.554118,-0.106305,-4.169273,3.279674,-1.168313,5.092136,0.321072,2.862118,,5.048243
41,201.582115,837.587866,1.002360,,4.156430,4.517601,4.284235,4.307398,4.076359,4.282350,4.349525,4.274366,4.468566,3.839738,4.112444,4.703461,4.176854,4.098546,3.941097,4.239390,4.039542,4.713293,4.399415,4.400339,,-0.806978,2.271260,-1.032002,3.098253,-2.193409,-4.746124,-0.217977,1.168424,-0.771432,-2.140181,-3.096568,0.909743,-1.554118,-0.106305,-4.169273,3.279674,-1.168313,5.092136,0.321072,2.862118,,5.153413
42,216.941577,837.587866,1.001263,,4.143628,4.501929,4.316602,4.251883,4.089241,4.256488,4.249490,4.266372,4.400009,3.886968,4.090557,4.666196,4.137919,4.082770,3.881517,4.102553,4.072670,4.639954,4.400146,4.382813,,1.408670,2.290612,-1.387383,3.751627,-3.151031,-3.969206,-2.166994,2.145684,-5.040198,-2.192059,-2.895431,-0.298832,-3.409157,1.023328,-0.818402,2.093449,-0.233118,4.348681,2.083633,3.416126,,5.282759
