min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
41,180.677110,630.939178,1.002156,,4.198768,4.527732,3.717612,4.669862,4.032021,4.549221,4.216549,4.241860,4.097593,3.763920,4.856674,4.354854,4.167374,3.892071,3.542732,4.373346,3.573131,4.371272,4.145174,3.582984,,1.937775,-0.841767,-0.936692,0.120088,-3.719656,0.700175,-4.153836,1.380904,1.035457,-1.507736,2.360319,-3.382477,0.884113,-1.047131,-0.923825,2.936463,-0.202774,3.036455,-1.865189,-0.810663,,3.748771
42,178.087525,630.939178,1.000000,,4.154281,4.479088,3.686830,4.695957,3.992938,4.506291,4.185919,4.183362,4.121768,3.715854,4.848007,4.306725,4.108813,3.888759,3.501337,4.378688,3.468805,4.300152,4.087456,3.559679,,0.921568,-0.837272,-1.873156,2.075910,-3.306081,-1.004340,-3.887573,1.278060,2.594978,-0.279567,-0.774653,-2.720400,2.152708,0.687177,2.029361,0.993773,-0.807482,-0.125545,0.878888,-2.996352,,3.772223
43,187.159666,630.939178,1.000918,,4.129067,4.410658,3.630990,4.653588,3.892581,4.478744,4.066079,4.136034,4.103809,3.607146,4.765989,4.277302,4.021622,3.766963,3.500118,4.305934,3.470986,4.288155,4.044501,3.494505,,1.019267,-2.861491,-2.297469,2.841805,-1.828894,3.234000,-1.339619,3.210624,1.724259,0.175216,-1.970797,-1.939425,0.580760,-1.572616,2.393241,1.044063,-3.071759,-0.106385,-2.262901,-1.971879,,3.797872
44,180.726584,630.939178,1.000078,,4.090860,4.393157,3.579377,4.563090,3.849293,4.404829,3.968537,4.129973,3.999014,3.569144,4.664237,4.155942,3.938583,3.671777,3.466676,4.229649,3.461810,4.145417,3.974342,3.416131,,-1.017751,-0.928138,-0.257853,3.022791,-0.973232,-1.024462,-0.660227,-0.155885,-0.445914,-0.021281,3.199554,-3.039788,-1.435748,-1.198653,-0.913154,0.672234,-1.177009,2.210926,-0.937108,0.080698,,3.865258
45,180.726584,630.939178,1.000000,,4.042487,4.311240,3.565829,4.435623,3.758706,4.375303,3.942139,4.122579,3.902124,3.581547,4.612112,4.128679,3.913765,3.551013,3.370043,4.222106,3.429990,4.117100,3.904166,3.311115,,-1.017751,-0.928138,-0.257853,3.022791,-0.973232,-1.024462,-0.660227,-0.155885,-0.445914,-0.021281,3.199554,-3.039788,-1.435748,-1.198653,-0.913154,0.672234,-1.177009,2.210926,-0.937108,0.080698,,3.951577
46,154.252968,630.939178,1.000319,,3.937658,4.273553,3.564979,4.408168,3.689179,4.273004,3.903368,4.119362,3.926746,3.458792,4.537970,4.128672,3.844628,3.503730,3.306030,4.134160,3.408317,4.089636,3.887170,3.176231,,-1.988708,-0.191550,0.109983,2.748645,-1.946916,-0.032811,-3.849789,-0.414793,1.996963,0.394067,-0.267569,-1.946168,2.348241,-1.974169,0.752903,-0.154405,-2.611456,3.068363,1.001566,-2.042398,,4.014646
47,154.252968,630.939178,1.001246,,3.837410,4.267765,3.503589,4.308286,3.556326,4.227793,3.892106,4.082195,3.819285,3.412438,4.452424,4.054926,3.854293,3.389237,3.226017,4.087226,3.305729,4.104454,3.778816,3.143995,,-1.988708,-0.191550,0.109983,2.748645,-1.946916,-0.032811,-3.849789,-0.414793,1.996963,0.394067,-0.267569,-1.946168,2.348241,-1.974169,0.752903,-0.154405,-2.611456,3.068363,1.001566,-2.042398,,4.123142
48,154.252968,630.939178,1.002667,,3.727394,4.220172,3.454963,4.236397,3.468326,4.147579,3.863626,4.004395,3.770422,3.321479,4.407016,3.915422,3.788654,3.357986,3.165291,4.107059,3.232269,4.089378,3.735908,3.102758,,-1.988708,-0.191550,0.109983,2.748645,-1.946916,-0.032811,-3.849789,-0.414793,1.996963,0.394067,-0.267569,-1.946168,2.348241,-1.974169,0.752903,-0.154405,-2.611456,3.068363,1.001566,-2.042398,,4.215132
49,154.252968,630.939178,1.002498,,3.660188,4.109804,3.454370,4.187901,3.441524,4.132239,3.792771,3.866787,3.672314,3.300630,4.346198,3.835617,3.744918,3.333432,3.100189,4.053664,3.206692,3.924834,3.677112,3.064479,,-1.988708,-0.191550,0.109983,2.748645,-1.946916,-0.032811,-3.849789,-0.414793,1.996963,0.394067,-0.267569,-1.946168,2.348241,-1.974169,0.752903,-0.154405,-2.611456,3.068363,1.001566,-2.042398,,4.291349
50,176.297087,630.939178,1.001275,,3.662289,4.087559,3.333408,4.091770,3.310062,3.991426,3.735192,3.754362,3.639744,3.253272,4.285143,3.820388,3.676823,3.289947,3.128291,4.019834,3.213928,3.844984,3.654409,3.028455,,-1.774391,-0.872088,1.051655,2.479754,-1.080152,0.828266,-1.054498,0.837480,-1.280480,0.125867,-0.538998,-1.104950,0.115255,-3.057322,2.320819,-0.183115,-3.029112,3.522017,-0.312348,-1.993660,,4.387584
51,183.102843,630.939178,1.000955,,3.603796,4.043799,3.318338,4.066899,3.301247,3.959305,3.700090,3.766267,3.590813,3.246432,4.250111,3.788505,3.592966,3.250962,3.093577,4.001099,3.194081,3.779169,3.599903,3.007164,,-1.310588,-1.869498,-0.229243,-0.251299,-1.065852,0.382261,-0.030571,2.486292,1.310247,-1.279203,0.184109,-0.884455,0.181050,-0.959575,3.004534,-0.076001,-4.882152,3.074961,-2.133905,-0.651114,,4.405369
52,183.102843,630.939178,1.002790,,3.587164,4.009414,3.243724,4.011802,3.247731,3.944144,3.630071,3.746502,3.532575,3.299697,4.306238,3.678702,3.550316,3.220172,3.005428,3.850773,3.183868,3.766582,3.610181,3.010466,,-1.310588,-1.869498,-0.229243,-0.251299,-1.065852,0.382261,-0.030571,2.486292,1.310247,-1.279203,0.184109,-0.884455,0.181050,-0.959575,3.004534,-0.076001,-4.882152,3.074961,-2.133905,-0.651114,,4.415268
53,182.362183,630.939178,1.001699,,3.515901,3.996218,3.242887,3.972590,3.232279,3.949022,3.543266,3.718467,3.503997,3.234760,4.187538,3.563761,3.524497,3.186728,2.904826,3.845245,3.177707,3.752019,3.629481,2.972465,,-2.025501,-0.061967,0.690835,4.905082,-0.968505,0.000705,-3.012920,-1.153160,-1.069896,0.030888,1.911673,-0.874555,0.827357,-2.252698,0.611958,-1.502863,-1.935615,1.367744,0.766864,-1.255430,,4.478253
54,182.362183,630.939178,1.000437,,3.503876,3.982895,3.174944,3.860055,3.183112,3.896098,3.518550,3.715852,3.357803,3.191160,4.161932,3.494543,3.401752,3.121063,2.865873,3.785625,3.069181,3.716422,3.553365,2.864865,,-2.025501,-0.061967,0.690835,4.905082,-0.968505,0.000705,-3.012920,-1.153160,-1.069896,0.030888,1.911673,-0.874555,0.827357,-2.252698,0.611958,-1.502863,-1.935615,1.367744,0.766864,-1.255430,,4.514469
