min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
33,219.032377,1368.982648,1.003080,,5.352312,5.014646,5.509978,5.404569,5.139599,4.560750,4.939100,5.708141,5.382158,4.644276,5.299507,5.402522,5.008995,5.108269,4.534134,4.961568,5.368236,5.535079,4.632190,5.251067,,-2.609278,2.961456,-0.350764,-1.049039,-0.788037,-2.969492,-0.086245,0.535634,-1.041310,-0.759331,-3.830028,-2.109087,-2.750817,-2.014879,0.613279,0.130715,-0.787894,-0.599454,-2.056906,1.878527,,3.749481
34,237.060312,1368.982648,1.004132,,5.298599,5.001080,5.456557,5.331435,5.072227,4.511236,4.935441,5.696143,5.357711,4.651137,5.264224,5.321886,4.952920,4.987414,4.475160,4.913683,5.358907,5.529818,4.532893,5.246293,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,3.789325
35,237.060312,1368.982648,1.004128,,5.223479,5.012454,5.436086,5.353169,4.999300,4.518251,4.870361,5.661154,5.203375,4.632592,5.142348,5.291507,4.950505,4.969123,4.369244,4.867294,5.253615,5.462197,4.474510,5.164859,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,3.905300
36,237.060312,1368.982648,1.002171,,5.158716,4.994289,5.303883,5.193641,4.855668,4.241024,4.797081,5.609152,5.020739,4.460146,5.046034,5.130184,4.762206,4.863495,4.328868,4.734908,5.188444,5.453616,4.340675,5.018067,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,4.027871
37,237.060312,1368.982648,1.001017,,5.110726,4.912178,5.205638,5.154438,4.833321,4.117672,4.767319,5.587031,4.981892,4.374755,4.789912,5.027098,4.708779,4.811658,4.207863,4.602758,5.011402,5.424774,4.205256,4.956405,,-3.029751,0.957579,0.724299,-0.147249,-1.060302,-4.720247,1.616865,1.583063,-0.742366,-1.039968,-1.995804,-3.895038,-0.952055,-3.983376,0.036373,-2.094752,-2.093545,0.571136,-0.672299,-0.981189,,4.111128
38,237.661371,1368.982648,1.003677,,5.010513,4.726689,5.101389,5.102089,4.862421,4.054172,4.618156,5.453013,4.923762,4.254214,4.547539,4.877442,4.579752,4.674556,4.149152,4.447610,4.834447,5.384338,4.102751,4.866291,,-0.212303,3.459835,0.909400,0.920035,-3.662065,-2.869648,-0.880217,1.847421,-4.161815,-3.105807,-4.570719,-1.263016,-5.042736,0.361543,-0.790455,-0.256653,-1.619604,2.398486,-1.523224,1.123283,,4.276190
39,192.955238,1368.982648,1.004122,,5.014370,4.638711,5.041003,5.021906,4.824876,4.022608,4.619943,5.311485,4.913495,4.192001,4.485309,4.814835,4.549920,4.614549,4.106447,4.439101,4.801671,5.343366,4.038391,4.787995,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.328174
40,192.955238,1368.982648,1.002877,,4.950816,4.575654,4.912290,4.961827,4.686601,3.970678,4.554685,5.201290,4.835887,4.238181,4.395049,4.769248,4.406246,4.553819,4.023508,4.369148,4.690836,5.243696,3.962088,4.693184,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.445332
41,192.955238,1368.982648,1.002713,,4.900640,4.616975,4.880480,4.903722,4.708359,3.912146,4.445604,5.155927,4.701883,4.144644,4.339911,4.774612,4.394444,4.472004,3.919714,4.308247,4.609148,5.138261,3.927007,4.735703,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.526835
42,192.955238,1368.982648,1.000908,,4.807824,4.577419,4.832805,4.816024,4.703097,3.890719,4.430932,5.128690,4.656197,4.050851,4.218743,4.686064,4.374141,4.456930,3.892662,4.280645,4.513730,5.094785,3.833330,4.599449,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.583220
43,192.955238,1368.982648,1.000485,,4.769724,4.449081,4.679724,4.743420,4.601340,3.900772,4.337138,5.040691,4.509398,4.061217,4.141889,4.615910,4.282116,4.252958,3.821274,4.218295,4.372951,5.072471,3.790569,4.556103,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.691024
44,192.955238,1368.982648,1.000000,,4.731134,4.448018,4.665489,4.682984,4.621556,3.901322,4.331602,5.035156,4.430425,4.026549,4.096620,4.613798,4.222543,4.220298,3.838050,4.230879,4.328503,5.073466,3.735842,4.587673,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.746752
45,192.955238,1368.982648,1.000000,,4.596201,4.430729,4.578565,4.646477,4.449318,3.782313,4.279709,5.028120,4.361669,3.968446,3.997125,4.562055,4.167011,4.117971,3.789519,4.217226,4.227675,4.904600,3.697210,4.511893,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.842184
46,192.955238,1368.982648,1.000000,,4.509442,4.393178,4.494126,4.590607,4.355679,3.786135,4.203216,5.011430,4.245279,3.864742,3.832056,4.462840,4.166545,4.085441,3.685417,4.074837,4.185519,4.862468,3.639755,4.418826,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,4.931160
47,192.955238,1368.982648,1.000000,,4.443982,4.284751,4.322900,4.517193,4.280643,3.631429,4.093402,4.873284,4.157887,3.792181,3.676648,4.283350,3.990511,4.038614,3.632455,3.942089,4.115886,4.793375,3.528635,4.329655,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,5.016954
48,192.955238,1368.982648,1.001240,,4.368117,4.289613,4.277161,4.486672,4.226134,3.511018,4.019564,4.805946,4.179837,3.722560,3.660866,4.227995,3.967090,3.983748,3.616937,3.932343,4.071109,4.802371,3.476765,4.286702,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,5.046207
49,192.955238,1368.982648,1.002159,,4.238276,4.225055,4.249995,4.448108,4.216816,3.459483,3.963886,4.727162,4.138168,3.682487,3.657583,4.161621,3.941730,3.926421,3.620042,3.922939,4.003173,4.769737,3.482437,4.279377,,-2.079054,3.086225,0.468010,0.986948,-1.967969,-0.702795,-3.461821,2.083591,-3.396431,-3.795021,-1.960595,-1.279705,-2.814690,-0.948743,-1.267374,0.431215,-1.166876,2.433936,-1.392519,2.910094,,5.087533
50,191.462480,1368.982648,1.000957,,4.198987,4.169130,4.190579,4.499163,4.213470,3.434189,3.959847,4.684113,4.128974,3.644657,3.614604,4.108515,3.911335,3.886761,3.558022,3.897054,3.942383,4.782873,3.402244,4.253660,,-2.035841,-1.566977,1.119708,1.524495,-1.194893,-2.577690,-2.771886,3.039811,-3.928655,-0.976596,-1.991953,0.094299,-2.879430,-0.904446,-0.833804,-0.715274,-2.710388,-0.133226,0.900107,2.971617,,5.109605
51,191.462480,1368.982648,1.000000,,4.130064,4.114477,4.102386,4.419994,4.118327,3.380536,3.983002,4.673460,4.100284,3.543032,3.612259,4.063173,3.811536,3.829562,3.528779,3.868231,3.915550,4.706089,3.389847,4.201186,,-2.035841,-1.566977,1.119708,1.524495,-1.194893,-2.577690,-2.771886,3.039811,-3.928655,-0.976596,-1.991953,0.094299,-2.879430,-0.904446,-0.833804,-0.715274,-2.710388,-0.133226,0.900107,2.971617,,5.127969
52,191.462480,1368.982648,1.000101,,4.024558,4.068829,3.998783,4.254838,3.958441,3.341395,3.927034,4.630178,4.051289,3.466612,3.576718,4.021457,3.709913,3.719563,3.510687,3.803886,3.773961,4.695718,3.309586,4.137640,,-2.035841,-1.566977,1.119708,1.524495,-1.194893,-2.577690,-2.771886,3.039811,-3.928655,-0.976596,-1.991953,0.094299,-2.879430,-0.904446,-0.833804,-0.715274,-2.710388,-0.133226,0.900107,2.971617,,5.186203
53,191.462480,1368.982648,1.000000,,4.012321,4.010003,3.839900,4.196555,3.892275,3.238774,3.821370,4.635934,3.967183,3.392841,3.558160,3.960633,3.616513,3.591063,3.438917,3.675603,3.540933,4.659860,3.246121,4.079113,,-2.035841,-1.566977,1.119708,1.524495,-1.194893,-2.577690,-2.771886,3.039811,-3.928655,-0.976596,-1.991953,0.094299,-2.879430,-0.904446,-0.833804,-0.715274,-2.710388,-0.133226,0.900107,2.971617,,5.247033
