min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
44,196.781478,828.361629,1.000000,,4.129377,3.895677,4.240280,4.228837,4.421460,3.756139,3.470773,4.424498,4.020530,4.214912,4.325213,4.395271,4.018075,4.605817,4.402122,4.761757,3.818675,4.288294,4.218126,4.162838,,1.022242,1.964409,2.991366,2.989800,-4.549770,-2.950131,-1.865020,2.721799,-2.463210,-0.512044,-3.936760,0.989705,0.084566,0.766289,-1.772790,0.989967,-0.472290,2.875610,-2.010872,0.155494,,5.332023
45,196.781478,828.361629,1.000000,,4.020952,3.738885,4.190978,4.221899,4.267135,3.618779,3.496572,4.330330,3.960393,4.155746,4.291663,4.375225,3.907677,4.575338,4.350514,4.737259,3.714523,4.302848,4.151294,4.104012,,1.022242,1.964409,2.991366,2.989800,-4.549770,-2.950131,-1.865020,2.721799,-2.463210,-0.512044,-3.936760,0.989705,0.084566,0.766289,-1.772790,0.989967,-0.472290,2.875610,-2.010872,0.155494,,5.414918
46,196.781478,828.361629,1.000000,,3.961794,3.627076,4.158737,4.235550,4.238494,3.599621,3.489919,4.294366,3.933718,4.069060,4.186982,4.367661,3.911649,4.511375,4.248009,4.706089,3.696748,4.255944,4.118290,4.065631,,1.022242,1.964409,2.991366,2.989800,-4.549770,-2.950131,-1.865020,2.721799,-2.463210,-0.512044,-3.936760,0.989705,0.084566,0.766289,-1.772790,0.989967,-0.472290,2.875610,-2.010872,0.155494,,5.507430
47,196.781478,828.361629,1.002119,,3.941417,3.480220,4.127586,4.060227,4.284187,3.478685,3.366982,4.206198,3.807270,4.028372,4.198256,4.357847,3.891918,4.424180,4.184521,4.554916,3.609890,4.186120,4.094706,3.915483,,1.022242,1.964409,2.991366,2.989800,-4.549770,-2.950131,-1.865020,2.721799,-2.463210,-0.512044,-3.936760,0.989705,0.084566,0.766289,-1.772790,0.989967,-0.472290,2.875610,-2.010872,0.155494,,5.617075
48,164.601733,828.361629,1.001342,,3.873594,3.383937,4.082721,3.891027,4.080806,3.350807,3.290506,4.078526,3.757948,3.898371,4.137759,4.284290,3.830037,4.329203,4.147226,4.469623,3.587905,4.090174,3.969047,3.764372,,-0.925599,2.896927,1.736290,2.928318,-2.152921,-3.023879,-0.711006,1.241223,-1.829814,-3.276202,-1.078473,-2.004104,-1.050181,-0.233022,-1.075550,1.697261,-0.698299,3.034314,-1.975798,2.825893,,5.700859
49,164.601733,828.361629,1.000000,,3.819377,3.327782,3.981451,3.813258,4.040829,3.325696,3.154321,4.025868,3.665424,3.752485,4.035719,4.257365,3.785713,4.327865,4.050374,4.346259,3.542884,3.972662,3.925474,3.621613,,-0.925599,2.896927,1.736290,2.928318,-2.152921,-3.023879,-0.711006,1.241223,-1.829814,-3.276202,-1.078473,-2.004104,-1.050181,-0.233022,-1.075550,1.697261,-0.698299,3.034314,-1.975798,2.825893,,5.771854
50,196.781478,828.361629,1.000918,,3.760074,3.301695,3.918532,3.738595,4.093002,3.312062,3.115987,3.997794,3.623275,3.631428,4.006656,4.134188,3.763030,4.228296,3.939821,4.321119,3.539511,3.861181,3.815002,3.590874,,1.022242,1.964409,2.991366,2.989800,-4.549770,-2.950131,-1.865020,2.721799,-2.463210,-0.512044,-3.936760,0.989705,0.084566,0.766289,-1.772790,0.989967,-0.472290,2.875610,-2.010872,0.155494,,5.853177
51,201.925619,828.361629,1.001066,,3.702772,3.296575,3.916635,3.732042,4.043088,3.288934,3.116986,4.034314,3.603645,3.631639,4.027370,4.076365,3.756094,4.220713,3.870101,4.252427,3.507787,3.873812,3.748291,3.607805,,-0.403936,2.378364,5.094747,2.919544,-1.705818,-1.745039,-1.946983,2.822096,-3.136488,-1.183420,-3.125125,-2.241376,-3.405326,-0.936912,-0.859430,0.841951,-2.108047,3.203955,-1.374234,2.941228,,5.929246
52,198.257687,828.361629,1.001864,,3.749064,3.234255,3.890885,3.706002,3.996140,3.242374,3.067035,4.057252,3.521410,3.639813,3.886220,4.116419,3.753397,4.162557,3.751938,4.136147,3.430976,3.746671,3.672527,3.565879,,-0.987317,3.868264,-0.784500,4.695802,-4.851707,-0.835486,-0.783341,4.239388,-2.288422,-0.193196,-2.082214,-1.751996,-2.091005,-0.766986,-0.192233,0.240080,-1.470682,2.065657,-1.196982,0.950019,,6.021799
53,200.770928,828.361629,1.002179,,3.634969,3.122635,3.803610,3.626079,3.943700,3.210923,3.015367,3.905519,3.483034,3.575500,3.865549,4.048597,3.658397,4.120880,3.710270,4.074782,3.337869,3.655145,3.612188,3.562991,,1.262536,2.783762,-1.058799,2.019118,-2.182117,-1.976529,-1.484304,3.917866,-3.192907,-0.721653,-0.084181,0.412600,0.172248,1.017087,-2.019797,2.308980,1.019451,3.977746,0.965936,3.726753,,6.102520
54,200.770928,828.361629,1.001750,,3.611202,3.119392,3.789880,3.549387,3.906785,3.180816,2.955313,3.771134,3.461336,3.532086,3.762457,3.983004,3.566923,4.007702,3.619120,4.033419,3.280532,3.515664,3.590460,3.491899,,1.262536,2.783762,-1.058799,2.019118,-2.182117,-1.976529,-1.484304,3.917866,-3.192907,-0.721653,-0.084181,0.412600,0.172248,1.017087,-2.019797,2.308980,1.019451,3.977746,0.965936,3.726753,,6.152555
