dimension,200,seed,1
,mode,2
times,cosR,error
41.600000,0.732754,0.237200
41.700000,0.734160,0.235900
41.800000,0.735086,0.236200
41.900000,0.736288,0.235200
42.000000,0.737059,0.235200
42.100000,0.738243,0.234400
42.200000,0.739280,0.233700
42.300000,0.740452,0.233900
42.400000,0.741504,0.232800
42.500000,0.742830,0.232400
42.600000,0.744079,0.232200
42.700000,0.745172,0.231700
42.800000,0.746363,0.231500
42.900000,0.747535,0.230400
43.000000,0.749098,0.230100
43.100000,0.749844,0.230000
43.200000,0.750682,0.229400
43.300000,0.751764,0.229200
43.400000,0.753075,0.228200
43.500000,0.753842,0.227600
43.600000,0.754855,0.227600
43.700000,0.755590,0.227300
43.800000,0.756415,0.226500
43.900000,0.757184,0.226200
44.000000,0.757816,0.225400
44.100000,0.759091,0.225000
44.200000,0.760050,0.224800
44.300000,0.761257,0.224500
44.400000,0.762653,0.223900
44.500000,0.763601,0.222900
44.600000,0.764746,0.222400
44.700000,0.765594,0.222100
44.800000,0.766307,0.222300
44.900000,0.767342,0.221900
45.000000,0.768264,0.221000
45.100000,0.769363,0.220700
45.200000,0.770245,0.220300
45.300000,0.770797,0.220100
45.400000,0.771612,0.219900
45.500000,0.772468,0.219500
45.600000,0.773653,0.218500
45.700000,0.774601,0.218000
45.800000,0.775655,0.217400
45.900000,0.776579,0.216800
46.000000,0.777618,0.216600
46.100000,0.778614,0.215300
46.200000,0.779388,0.215200
46.300000,0.780439,0.214400
46.400000,0.781510,0.213400
46.500000,0.782645,0.212600
46.600000,0.783642,0.212300
46.700000,0.784715,0.212000
46.800000,0.785743,0.211700
46.900000,0.786471,0.211500
47.000000,0.787419,0.210600
47.100000,0.788248,0.210200
47.200000,0.788803,0.210100
47.300000,0.789477,0.209700
47.400000,0.789932,0.209400
47.500000,0.790895,0.209700
47.600000,0.791489,0.208900
47.700000,0.792580,0.208200
47.800000,0.793590,0.207700
47.900000,0.794435,0.207000
48.000000,0.795290,0.206300
48.100000,0.796002,0.206300
48.200000,0.796870,0.205700
48.300000,0.797482,0.205400
48.400000,0.798330,0.204800
48.500000,0.798990,0.204800
48.600000,0.799803,0.204400
48.700000,0.800398,0.204100
48.800000,0.801179,0.203500
48.900000,0.801803,0.203100
49.000000,0.802453,0.202600
49.100000,0.803074,0.202500
49.200000,0.803669,0.201800
49.300000,0.804415,0.200600
49.400000,0.805131,0.200800
49.500000,0.805731,0.200800
49.600000,0.806350,0.200000
49.700000,0.807052,0.199100
49.800000,0.807824,0.198700
49.900000,0.808532,0.198500
50.000000,0.809380,0.197800
50.100000,0.810351,0.197200
50.200000,0.811182,0.196900
50.300000,0.812080,0.196400
50.400000,0.812957,0.196100
50.500000,0.813538,0.195800
50.600000,0.814672,0.195300
50.700000,0.815721,0.194700
50.800000,0.816112,0.194600
50.900000,0.816801,0.194000
51.000000,0.817336,0.193800
51.100000,0.817918,0.193600
51.200000,0.818593,0.193200
51.300000,0.819420,0.192700
51.400000,0.819909,0.192300
51.500000,0.820631,0.192000
51.600000,0.821175,0.191700
51.700000,0.822255,0.191300
51.800000,0.822804,0.190800
51.900000,0.823384,0.190400
52.000000,0.824250,0.190000
52.100000,0.824938,0.190000
52.200000,0.825662,0.189800
52.300000,0.826279,0.189600
52.400000,0.826791,0.189300
52.500000,0.827498,0.188900
52.600000,0.828396,0.188100
52.700000,0.829016,0.187800
52.800000,0.829584,0.187500
52.900000,0.830106,0.187100
53.000000,0.830742,0.186500
53.100000,0.831530,0.186000
53.200000,0.832029,0.185700
53.300000,0.832589,0.185100
53.400000,0.833280,0.184700
53.500000,0.834136,0.183900
53.600000,0.834527,0.183600
53.700000,0.835139,0.183500
53.800000,0.835825,0.182800
53.900000,0.836708,0.182800
54.000000,0.837255,0.182100
54.100000,0.837793,0.181800
54.200000,0.838441,0.181500
54.300000,0.839328,0.181200
54.400000,0.839725,0.180800
54.500000,0.840241,0.180800
54.600000,0.840924,0.180800
54.700000,0.841521,0.180300
54.800000,0.841935,0.180300
54.900000,0.842678,0.180200
55.000000,0.843111,0.179600
55.100000,0.843747,0.179700
55.200000,0.844821,0.179200
55.300000,0.845572,0.178300
55.400000,0.846415,0.177800
55.500000,0.847336,0.177400
55.600000,0.847937,0.177300
55.700000,0.848577,0.177300
55.800000,0.849100,0.177200
55.900000,0.849613,0.176800
56.000000,0.850262,0.176100
56.100000,0.850609,0.175900
56.200000,0.851576,0.175300
56.300000,0.852256,0.174700
56.400000,0.852937,0.174400
56.500000,0.853552,0.174000
56.600000,0.854126,0.173100
56.700000,0.854741,0.173100
56.800000,0.855438,0.172200
56.900000,0.855967,0.172300
57.000000,0.856829,0.171900
57.100000,0.857181,0.171600
57.200000,0.857471,0.171600
57.300000,0.858096,0.171500
57.400000,0.858498,0.171500
57.500000,0.859080,0.171200
57.600000,0.859621,0.171100
57.700000,0.860302,0.170900
57.800000,0.861079,0.170400
57.900000,0.861378,0.170300
58.000000,0.861681,0.169900
58.100000,0.862320,0.168900
58.200000,0.862727,0.169000
58.300000,0.863319,0.168200
58.400000,0.863911,0.168200
58.500000,0.864461,0.167500
58.600000,0.865105,0.166800
58.700000,0.865758,0.166600
58.800000,0.866258,0.166000
58.900000,0.866955,0.165800
59.000000,0.867577,0.165300
59.100000,0.868073,0.165400
59.200000,0.868321,0.165300
59.300000,0.869095,0.164900
59.400000,0.869742,0.164100
59.500000,0.870114,0.164300
59.600000,0.870513,0.164000
59.700000,0.870885,0.163800
59.800000,0.871458,0.163700
59.900000,0.872024,0.163400
60.000000,0.872584,0.162900
60.100000,0.872892,0.163000
60.200000,0.873355,0.162300
60.300000,0.873838,0.162000
60.400000,0.874372,0.161500
60.500000,0.874645,0.161100
60.600000,0.875270,0.161100
60.700000,0.875887,0.160400
60.800000,0.876291,0.160000
60.900000,0.876757,0.159500
61.000000,0.877171,0.159500
61.100000,0.877656,0.159400
61.200000,0.878153,0.158900
61.300000,0.878805,0.158600
61.400000,0.879078,0.158300
61.500000,0.879447,0.158200
61.600000,0.879903,0.157800
61.700000,0.880444,0.157800
61.800000,0.880899,0.157600
61.900000,0.881332,0.157700
62.000000,0.881755,0.157300
62.100000,0.882148,0.157200
62.200000,0.882606,0.156700
62.300000,0.883235,0.156900
62.400000,0.883664,0.156500
62.500000,0.884114,0.156200
62.600000,0.884575,0.156400
62.700000,0.885093,0.156100
62.800000,0.885492,0.155800
62.900000,0.886007,0.155400
63.000000,0.886475,0.155200
63.100000,0.886864,0.155000
63.200000,0.887086,0.154900
63.300000,0.887360,0.154500
63.400000,0.887844,0.154700
63.500000,0.888202,0.154600
63.600000,0.888539,0.154500
63.700000,0.888791,0.154400
63.800000,0.889325,0.153700
63.900000,0.889678,0.153800
64.000000,0.890145,0.153400
64.100000,0.890486,0.153500
64.200000,0.890821,0.153300
64.300000,0.891182,0.153100
64.400000,0.891557,0.152700
64.500000,0.892053,0.152000
64.600000,0.892413,0.151600
64.700000,0.892778,0.151300
64.800000,0.893245,0.151000
64.900000,0.893626,0.150900
65.000000,0.893870,0.150700
65.100000,0.894246,0.150500
65.200000,0.894659,0.150100
65.300000,0.894944,0.150300
65.400000,0.895326,0.150400
65.500000,0.895730,0.150000
65.600000,0.896210,0.150000
65.700000,0.896550,0.149800
65.800000,0.896824,0.149500
65.900000,0.897150,0.149700
66.000000,0.897384,0.149300
66.100000,0.897788,0.149300
66.200000,0.898097,0.149100
66.300000,0.898365,0.148800
66.400000,0.898745,0.148300
66.500000,0.899086,0.148200
66.600000,0.899340,0.148100
66.700000,0.899643,0.147700
66.800000,0.900179,0.147200
66.900000,0.900366,0.147200
67.000000,0.900766,0.147000
67.100000,0.901135,0.146700
67.200000,0.901588,0.146600
67.300000,0.901917,0.146400
67.400000,0.902405,0.146000
67.500000,0.902816,0.145500
67.600000,0.903308,0.145500
67.700000,0.903889,0.145500
67.800000,0.904226,0.145200
67.900000,0.904527,0.145100
68.000000,0.904780,0.144600
68.100000,0.905165,0.144500
68.200000,0.905560,0.144300
68.300000,0.905950,0.143500
68.400000,0.906195,0.143600
68.500000,0.906625,0.143300
68.600000,0.907020,0.143200
68.700000,0.907164,0.143200
68.800000,0.907385,0.143100
68.900000,0.907751,0.142600
69.000000,0.908079,0.142100
69.100000,0.908512,0.141900
69.200000,0.908745,0.142100
69.300000,0.908924,0.141900
69.400000,0.909222,0.141600
69.500000,0.909509,0.141400
69.600000,0.909903,0.141400
69.700000,0.910252,0.141100
69.800000,0.910425,0.141000
69.900000,0.910602,0.141100
70.000000,0.910830,0.141100
70.100000,0.911130,0.141000
70.200000,0.911371,0.140700
70.300000,0.911731,0.140400
70.400000,0.911953,0.140200
70.500000,0.912168,0.140200
70.600000,0.912455,0.139900
70.700000,0.912713,0.139700
70.800000,0.912960,0.139400
70.900000,0.913217,0.139400
71.000000,0.913436,0.139200
71.100000,0.913697,0.138900
71.200000,0.913861,0.138500
71.300000,0.914052,0.138900
71.400000,0.914388,0.138200
71.500000,0.914651,0.137600
71.600000,0.915021,0.137400
71.700000,0.915196,0.137200
71.800000,0.915497,0.136900
71.900000,0.915678,0.136800
72.000000,0.915987,0.137100
72.100000,0.916195,0.136800
72.200000,0.916527,0.136400
72.300000,0.916709,0.136300
72.400000,0.917074,0.135900
72.500000,0.917528,0.134900
72.600000,0.918025,0.134700
72.700000,0.918280,0.134300
72.800000,0.918642,0.133800
72.900000,0.918842,0.133600
73.000000,0.919099,0.133300
73.100000,0.919304,0.133000
73.200000,0.919600,0.132500
73.300000,0.919760,0.132600
73.400000,0.919997,0.132200
73.500000,0.920234,0.131900
73.600000,0.920401,0.131600
73.700000,0.920587,0.131900
73.800000,0.920865,0.132000
73.900000,0.921230,0.131600
74.000000,0.921509,0.131300
74.100000,0.921842,0.130800
74.200000,0.922163,0.131000
74.300000,0.922299,0.130700
74.400000,0.922505,0.130600
74.500000,0.922668,0.130100
74.600000,0.922873,0.129900
74.700000,0.923102,0.129700
74.800000,0.923403,0.129900
74.900000,0.923497,0.130000
75.000000,0.923688,0.129500
75.100000,0.924027,0.128900
75.200000,0.924295,0.128400
75.300000,0.924463,0.128300
75.400000,0.924648,0.128400
75.500000,0.924950,0.128100
75.600000,0.925124,0.128000
75.700000,0.925433,0.127300
75.800000,0.925615,0.127200
75.900000,0.925945,0.126800
76.000000,0.926067,0.126800
76.100000,0.926398,0.126300
76.200000,0.926643,0.126200
76.300000,0.926801,0.126100
76.400000,0.926927,0.125700
76.500000,0.927122,0.125600
76.600000,0.927476,0.125600
76.700000,0.927653,0.125600
76.800000,0.927841,0.125400
76.900000,0.928106,0.125500
77.000000,0.928255,0.125200
77.100000,0.928459,0.125100
77.200000,0.928636,0.124800
77.300000,0.928982,0.124900
77.400000,0.929267,0.124500
77.500000,0.929465,0.124300
77.600000,0.929640,0.124200
77.700000,0.929945,0.124400
77.800000,0.930258,0.124100
77.900000,0.930400,0.124200
78.000000,0.930609,0.124000
78.100000,0.930810,0.124100
78.200000,0.931073,0.124000
78.300000,0.931244,0.124000
78.400000,0.931467,0.123700
78.500000,0.931654,0.123500
78.600000,0.931964,0.122900
78.700000,0.932185,0.122900
78.800000,0.932301,0.122800
78.900000,0.932538,0.122700
79.000000,0.932744,0.122700
79.100000,0.932980,0.122300
79.200000,0.933164,0.122100
79.300000,0.933420,0.121800
